         975778 function calls (971875 primitive calls) in 3.068 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2371    0.001    0.000    0.001    0.000 {pandas._libs.lib.is_iterator}
     3219    0.001    0.000    0.001    0.000 {built-in method builtins.callable}
      753    0.001    0.000    0.001    0.000 {built-in method pandas._libs.missing.checknull}
      382    0.001    0.000    0.001    0.000 utils.py:123(check_setitem_lengths)
     2788    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
      155    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
        3    0.000    0.000    0.001    0.000 _exceptions.py:33(find_stack_level)
        3    0.000    0.000    0.001    0.000 cast.py:1275(find_result_type)
        3    0.000    0.000    0.001    0.000 python_parser.py:380(_infer_columns)
      379    0.000    0.000    0.001    0.000 inference.py:195(is_array_like)
      768    0.001    0.000    0.001    0.000 base.py:6238(_index_as_unique)
     1142    0.001    0.000    0.001    0.000 generic.py:659(ndim)
     1144    0.001    0.000    0.001    0.000 managers.py:1902(_block)
      376    0.001    0.000    0.001    0.000 blocks.py:1023(set_inplace)
       63    0.000    0.000    0.001    0.000 numeric.py:289(full)
        3    0.000    0.000    0.001    0.000 cast.py:1400(find_common_type)
      372    0.001    0.000    0.001    0.000 config.py:615(_select_options)
      379    0.001    0.000    0.001    0.000 {method 'clear' of 'dict' objects}
     1154    0.001    0.000    0.001    0.000 managers.py:169(blknos)
       11    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      372    0.000    0.000    0.001    0.000 config.py:674(_translate_key)
      379    0.000    0.000    0.001    0.000 indexing.py:2244(_ensure_iterable_column_indexer)
        3    0.000    0.000    0.001    0.000 series.py:4960(reindex)
     1143    0.001    0.000    0.001    0.000 generic.py:548(_get_axis_number)
      756    0.001    0.000    0.001    0.000 blocks.py:583(dtype)
     1486    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     1530    0.001    0.000    0.001    0.000 generic.py:393(flags)
        3    0.000    0.000    0.001    0.000 generic.py:5266(reindex)
       45    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
      366    0.000    0.000    0.001    0.000 common.py:1390(_get_dtype)
        9    0.000    0.000    0.001    0.000 python_parser.py:705(_next_line)
      425    0.000    0.000    0.001    0.000 construction.py:732(_maybe_repeat)
     1559    0.001    0.000    0.001    0.000 {pandas._libs.lib.item_from_zerodim}
        3    0.000    0.000    0.001    0.000 series.py:5478(isna)
        3    0.000    0.000    0.001    0.000 generic.py:8402(isna)
      763    0.001    0.000    0.001    0.000 indexing.py:289(loc)
     1151    0.000    0.000    0.000    0.000 managers.py:185(blklocs)
      786    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFDEAAF9F90}
      370    0.000    0.000    0.000    0.000 {built-in method numpy.array}
     1972    0.000    0.000    0.000    0.000 typing.py:2214(cast)
       47    0.000    0.000    0.000    0.000 common.py:1268(is_extension_array_dtype)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
      363    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.000    0.000 python_parser.py:628(_buffered_line)
      424    0.000    0.000    0.000    0.000 base.py:908(__len__)
        3    0.000    0.000    0.000    0.000 common.py:289(_get_filepath_or_buffer)
        9    0.000    0.000    0.000    0.000 cast.py:119(maybe_convert_platform)
        3    0.000    0.000    0.000    0.000 config_class.py:295(load_datafiles_names_from_stored_path)
     1158    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_float}
