         595871778 function calls (595868930 primitive calls) in 260.344 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
     2110    0.001    0.000    0.001    0.000 frame.py:952(axes)
     1067    0.001    0.000    0.001    0.000 blocks.py:1007(iget)
     1067    0.001    0.000    0.001    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
      521    0.001    0.000    0.001    0.000 blocks.py:2467(extend_blocks)
        3    0.000    0.000    0.001    0.000 python_parser.py:72(__init__)
     1635    0.001    0.000    0.001    0.000 indexing.py:1143(<genexpr>)
     1114    0.001    0.000    0.001    0.000 common.py:149(cast_scalar_indexer)
     5057    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
        3    0.000    0.000    0.001    0.000 common.py:652(get_handle)
        6    0.000    0.000    0.001    0.000 std.py:1287(fp_write)
      247    0.001    0.000    0.001    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
      238    0.001    0.000    0.001    0.000 std.py:153(__init__)
     1090    0.001    0.000    0.001    0.000 base.py:6238(_index_as_unique)
      507    0.001    0.000    0.001    0.000 blocks.py:1023(set_inplace)
     1530    0.001    0.000    0.001    0.000 indexing.py:877(<genexpr>)
     1067    0.001    0.000    0.001    0.000 common.py:1255(is_1d_only_ea_dtype)
      513    0.001    0.000    0.001    0.000 utils.py:123(check_setitem_lengths)
     5001    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
        3    0.001    0.000    0.001    0.000 utils.py:296(_screen_shape_windows)
      235    0.001    0.000    0.001    0.000 {built-in method now}
      510    0.001    0.000    0.001    0.000 {method 'clear' of 'dict' objects}
      510    0.001    0.000    0.001    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     1577    0.001    0.000    0.001    0.000 managers.py:169(blknos)
     1536    0.001    0.000    0.001    0.000 generic.py:548(_get_axis_number)
      575    0.001    0.000    0.001    0.000 flags.py:53(__init__)
     1055    0.001    0.000    0.001    0.000 indexing.py:289(loc)
      510    0.000    0.000    0.001    0.000 inference.py:195(is_array_like)
      563    0.001    0.000    0.001    0.000 flags.py:89(allows_duplicate_labels)
      551    0.001    0.000    0.001    0.000 {built-in method pandas._libs.missing.checknull}
        3    0.000    0.000    0.001    0.000 _exceptions.py:33(find_stack_level)
       63    0.000    0.000    0.001    0.000 numeric.py:289(full)
     1574    0.001    0.000    0.001    0.000 managers.py:185(blklocs)
     1565    0.001    0.000    0.001    0.000 generic.py:659(ndim)
     1073    0.000    0.000    0.000    0.000 managers.py:1902(_block)
      247    0.000    0.000    0.000    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
        3    0.000    0.000    0.000    0.000 series.py:4960(reindex)
      510    0.000    0.000    0.000    0.000 indexing.py:2244(_ensure_iterable_column_indexer)
      510    0.000    0.000    0.000    0.000 common.py:306(is_null_slice)
        3    0.000    0.000    0.000    0.000 generic.py:5266(reindex)
        3    0.000    0.000    0.000    0.000 python_parser.py:380(_infer_columns)
        3    0.000    0.000    0.000    0.000 series.py:5478(isna)
        3    0.000    0.000    0.000    0.000 generic.py:8402(isna)
       47    0.000    0.000    0.000    0.000 common.py:1268(is_extension_array_dtype)
      555    0.000    0.000    0.000    0.000 base.py:908(__len__)
      510    0.000    0.000    0.000    0.000 indexing.py:966(_validate_key_length)
        3    0.000    0.000    0.000    0.000 config_class.py:295(load_datafiles_names_from_stored_path)
      510    0.000    0.000    0.000    0.000 managers.py:230(is_single_block)
        3    0.000    0.000    0.000    0.000 <frozen genericpath>:39(isdir)
      510    0.000    0.000    0.000    0.000 blocks.py:342(should_store)
      510    0.000    0.000    0.000    0.000 indexing.py:150(iloc)
        3    0.000    0.000    0.000    0.000 {built-in method nt.stat}
     2133    0.000    0.000    0.000    0.000 typing.py:2214(cast)
        3    0.000    0.000    0.000    0.000 {built-in method io.open}
      978    0.000    0.000    0.000    0.000 {built-in method time.time}
    42/39    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        9    0.000    0.000    0.000    0.000 python_parser.py:705(_next_line)
      549    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      185    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      510    0.000    0.000    0.000    0.000 common.py:318(is_empty_slice)
        3    0.000    0.000    0.000    0.000 common.py:289(_get_filepath_or_buffer)
      244    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        9    0.000    0.000    0.000    0.000 cast.py:119(maybe_convert_platform)
       53    0.000    0.000    0.000    0.000 common.py:137(is_object_dtype)
       33    0.000    0.000    0.000    0.000 inspect.py:896(getfile)
      247    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
      510    0.000    0.000    0.000    0.000 common.py:338(is_full_slice)
     1117    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_float}
     1126    0.000    0.000    0.000    0.000 generic.py:393(flags)
      524    0.000    0.000    0.000    0.000 blocks.py:583(dtype)
        3    0.000    0.000    0.000    0.000 python_parser.py:628(_buffered_line)
     1184    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
        6    0.000    0.000    0.000    0.000 managers.py:540(copy)
      513    0.000    0.000    0.000    0.000 cast.py:1724(np_can_hold_element)
        3    0.000    0.000    0.000    0.000 blocks.py:588(astype)
      581    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFDEAAF9F90}
       63    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(copyto)
        6    0.000    0.000    0.000    0.000 generic.py:5509(<genexpr>)
      241    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 base.py:841(_engine)
        3    0.000    0.000    0.000    0.000 cast.py:1275(find_result_type)
      563    0.000    0.000    0.000    0.000 flags.py:57(allows_duplicate_labels)
        3    0.000    0.000    0.000    0.000 readers.py:1782(__exit__)
      563    0.000    0.000    0.000    0.000 generic.py:358(attrs)
      510    0.000    0.000    0.000    0.000 contextlib.py:428(__init__)
        3    0.000    0.000    0.000    0.000 base.py:5609(identical)
        3    0.000    0.000    0.000    0.000 readers.py:1450(close)
      611    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      510    0.000    0.000    0.000    0.000 blocks.py:654(_maybe_copy)
        3    0.000    0.000    0.000    0.000 generic.py:6553(copy)
     1067    0.000    0.000    0.000    0.000 base.py:6611(_maybe_cast_indexer)
        3    0.000    0.000    0.000    0.000 common.py:121(close)
        3    0.000    0.000    0.000    0.000 std.py:666(__new__)
        3    0.000    0.000    0.000    0.000 pathlib.py:868(__new__)
        5    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        3    0.000    0.000    0.000    0.000 base.py:2292(is_unique)
      194    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        3    0.000    0.000    0.000    0.000 base.py:5518(equals)
        3    0.000    0.000    0.000    0.000 python_parser.py:298(_exclude_implicit_index)
        3    0.000    0.000    0.000    0.000 std.py:689(_decr_instances)
      238    0.000    0.000    0.000    0.000 std.py:167(colour)
        3    0.000    0.000    0.000    0.000 pathlib.py:504(_from_parts)
        3    0.000    0.000    0.000    0.000 {method 'close' of '_io.TextIOWrapper' objects}
      516    0.000    0.000    0.000    0.000 managers.py:335(<dictcomp>)
       50    0.000    0.000    0.000    0.000 base.py:510(find)
        9    0.000    0.000    0.000    0.000 config.py:271(__call__)
      238    0.000    0.000    0.000    0.000 utils.py:107(__init__)
       56    0.000    0.000    0.000    0.000 common.py:1425(_is_dtype_type)
        3    0.000    0.000    0.000    0.000 range.py:134(__new__)
       47    0.000    0.000    0.000    0.000 common.py:521(is_string_dtype)
        3    0.000    0.000    0.000    0.000 cast.py:1400(find_common_type)
        3    0.000    0.000    0.000    0.000 astype.py:192(astype_array_safe)
        3    0.000    0.000    0.000    0.000 __init__.py:48(create_string_buffer)
      238    0.000    0.000    0.000    0.000 utils.py:111(__format__)
       62    0.000    0.000    0.000    0.000 construction.py:673(_sanitize_ndim)
        9    0.000    0.000    0.000    0.000 config.py:145(_get_option)
        3    0.000    0.000    0.000    0.000 construction.py:487(<listcomp>)
        2    0.000    0.000    0.000    0.000 {method 'sum' of 'numpy.ndarray' objects}
       11    0.000    0.000    0.000    0.000 _dtype.py:344(_name_get)
        5    0.000    0.000    0.000    0.000 missing.py:261(_isna_array)
        3    0.000    0.000    0.000    0.000 python_parser.py:180(_make_reader)
        3    0.000    0.000    0.000    0.000 readers.py:1455(_get_options_with_defaults)
        7    0.000    0.000    0.000    0.000 _asarray.py:22(require)
        3    0.000    0.000    0.000    0.000 pathlib.py:484(_parse_args)
       53    0.000    0.000    0.000    0.000 common.py:556(require_length_match)
      510    0.000    0.000    0.000    0.000 contextlib.py:434(__exit__)
        2    0.000    0.000    0.000    0.000 _methods.py:46(_sum)
        3    0.000    0.000    0.000    0.000 series.py:6131(any)
      545    0.000    0.000    0.000    0.000 range.py:381(is_unique)
        6    0.000    0.000    0.000    0.000 generic.py:487(_validate_dtype)
        9    0.000    0.000    0.000    0.000 common.py:1587(pandas_dtype)
        3    0.000    0.000    0.000    0.000 astype.py:158(astype_array)
        3    0.000    0.000    0.000    0.000 base_parser.py:114(__init__)
        9    0.000    0.000    0.000    0.000 _weakrefset.py:63(__iter__)
        3    0.000    0.000    0.000    0.000 std.py:682(_get_free_pos)
       21    0.000    0.000    0.000    0.000 base.py:7607(maybe_extract_name)
        6    0.000    0.000    0.000    0.000 managers.py:1825(from_array)
        3    0.000    0.000    0.000    0.000 python_parser.py:918(_get_index_name)
        3    0.000    0.000    0.000    0.000 astype.py:56(_astype_nansafe)
        3    0.000    0.000    0.000    0.000 readers.py:1513(_clean_options)
       12    0.000    0.000    0.000    0.000 cast.py:1544(construct_1d_object_array_from_listlike)
        3    0.000    0.000    0.000    0.000 series.py:6090(_reduce)
      209    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
        3    0.000    0.000    0.000    0.000 {method '_rebuild_blknos_and_blklocs' of 'pandas._libs.internals.BlockManager' objects}
      510    0.000    0.000    0.000    0.000 indexing.py:1210(_has_valid_setitem_indexer)
        3    0.000    0.000    0.000    0.000 pathlib.py:56(parse_parts)
        3    0.000    0.000    0.000    0.000 _dtype.py:34(__str__)
       12    0.000    0.000    0.000    0.000 std.py:110(__enter__)
        4    0.000    0.000    0.000    0.000 base.py:5152(_get_engine_target)
      114    0.000    0.000    0.000    0.000 {built-in method numpy.asarray}
