         1013500 function calls (1011422 primitive calls) in 5.586 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       53    0.000    0.000    0.000    0.000 common.py:137(is_object_dtype)
        9    0.000    0.000    0.000    0.000 cast.py:119(maybe_convert_platform)
    42/39    0.000    0.000    0.000    0.000 {built-in method builtins.all}
      490    0.000    0.000    0.000    0.000 common.py:306(is_null_slice)
      490    0.000    0.000    0.000    0.000 blocks.py:342(should_store)
      490    0.000    0.000    0.000    0.000 common.py:338(is_full_slice)
        3    0.000    0.000    0.000    0.000 readers.py:1782(__exit__)
     1781    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      490    0.000    0.000    0.000    0.000 indexing.py:150(iloc)
        3    0.000    0.000    0.000    0.000 readers.py:1450(close)
     1960    0.000    0.000    0.000    0.000 {built-in method unicodedata.east_asian_width}
      531    0.000    0.000    0.000    0.000 {built-in method pandas._libs.missing.checknull}
      490    0.000    0.000    0.000    0.000 common.py:318(is_empty_slice)
        6    0.000    0.000    0.000    0.000 managers.py:540(copy)
     1012    0.000    0.000    0.000    0.000 generic.py:393(flags)
        3    0.000    0.000    0.000    0.000 common.py:121(close)
        3    0.000    0.000    0.000    0.000 db_hamming.py:96(<listcomp>)
       33    0.000    0.000    0.000    0.000 inspect.py:896(getfile)
     1003    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_float}
        3    0.000    0.000    0.000    0.000 {method 'close' of '_io.TextIOWrapper' objects}
      493    0.000    0.000    0.000    0.000 cast.py:1724(np_can_hold_element)
        6    0.000    0.000    0.000    0.000 generic.py:5509(<genexpr>)
        3    0.000    0.000    0.000    0.000 blocks.py:588(astype)
      504    0.000    0.000    0.000    0.000 blocks.py:583(dtype)
       63    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(copyto)
        2    0.000    0.000    0.000    0.000 std.py:1287(fp_write)
       50    0.000    0.000    0.000    0.000 base.py:510(find)
      522    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFDEAAF9F90}
        3    0.000    0.000    0.000    0.000 base.py:2292(is_unique)
